2015-10-15 19:41:58,452 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-34395-1444916491262-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-10-15 19:41:58,472 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 19:41:58,480 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 19:41:58,481 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 19:41:58,484 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 19:41:58,616 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 19:41:58,674 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-10-15 19:41:58,695 | INFO  | PListStore:[/opt/apache-activemq-5.12/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2015-10-15 19:41:58,699 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-10-15 19:41:58,700 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-10-15 19:41:58,702 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-10-15 19:41:58,785 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-34395-1444916491262-0:1) uptime 2 hours | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-10-15 19:41:58,786 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-34395-1444916491262-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-10-15 19:41:58,792 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@b47a87e: startup date [Thu Oct 15 17:41:28 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2015-10-15 19:41:58,855 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2015-10-15 19:42:08,672 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@465c16: startup date [Thu Oct 15 19:42:08 MSK 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-10-15 19:42:11,189 | INFO  | PListStore:[/opt/apache-activemq-5.12/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-10-15 19:42:11,262 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/apache-activemq-5.12/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-10-15 19:42:11,770 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 19:42:11,854 | INFO  | Recovering from the journal @1:48716 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 19:42:11,927 | INFO  | Recovery replayed 1158 operations from the journal in 0.12 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-10-15 19:42:12,125 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53120-1444923731963-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-10-15 19:42:12,240 | INFO  | Listening for connections at: tcp://linux-icqi:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 19:42:12,244 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 19:42:12,267 | INFO  | Listening for connections at: amqp://linux-icqi:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 19:42:12,276 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 19:42:12,284 | INFO  | Listening for connections at: stomp://linux-icqi:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 19:42:12,290 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 19:42:12,300 | INFO  | Listening for connections at: mqtt://linux-icqi:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-10-15 19:42:12,305 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 19:42:12,558 | INFO  | Listening for connections at ws://linux-icqi:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-10-15 19:42:12,559 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-10-15 19:42:12,589 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53120-1444923731963-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-10-15 19:42:12,605 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-10-15 19:42:12,616 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /opt/apache-activemq-5.12/data/kahadb only has 2983 mb of usable space - resetting to maximum available disk space: 2983 mb | org.apache.activemq.broker.BrokerService | main
2015-10-15 19:42:12,628 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: /opt/apache-activemq-5.12/data/localhost/tmp_storage only has 2983 mb of usable space - resetting to maximum available 2983 mb. | org.apache.activemq.broker.BrokerService | main
2015-10-15 19:42:14,190 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-15 19:42:14,190 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2015-10-15 19:42:14,287 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-10-15 19:42:14,984 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-10-15 19:44:09,992 | WARN  | Transport Connection to: tcp://127.0.0.1:50840 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50840@61616
2015-10-15 19:52:44,191 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp677948213-43
2015-10-15 20:06:45,173 | WARN  | Transport Connection to: tcp://127.0.0.1:50924 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50924@61616
2015-10-15 21:53:58,903 | INFO  | Apache ActiveMQ 5.12-SNAPSHOT (localhost, ID:linux-icqi-53120-1444923731963-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-28
